left_sensor,med_sensor,right_sensor,sampling_time,left_motor,right_motor
29.65,28.77,14.34,0.05078315734863281,1.2042696786982743,2.7900399167612586
29.8,21.14,14.59,0.04724431037902832,1.0954813804678485,2.906346029024556
29.93,27.05,14.18,0.050351619720458984,1.0377092885588208,2.9699692737430157
29.8,20.91,14.37,0.046892404556274414,1.0759575038284845,2.92769970845481
39.15,22.91,14.41,0.05280160903930664,0.9790000000000001,3.035999999999999
39.12,22.89,14.81,0.05270886421203613,0.9789999999999996,3.0359999999999996
39.29,23.81,14.59,0.05309128761291504,0.9790000000000005,3.036000000000002
38.97,27.63,14.52,0.05587267875671387,0.9790000000000001,3.0359999999999987
38.87,23.16,14.55,0.053197383880615234,0.9790000000000002,3.0360000000000014
39.21,27.52,14.37,0.05489802360534668,0.9790000000000003,3.036000000000001
38.94,23.48,14.29,0.05284428596496582,0.9789999999999982,3.035999999999999
39.3,22.64,14.47,0.05233645439147949,0.9790000000000005,3.0360000000000014
39.1,23.48,14.52,0.05374264717102051,0.9789999999999986,3.035999999999999
39.04,23.1,14.33,0.05264687538146973,0.9789999999999991,3.0359999999999996
39.07,23.73,14.81,0.05409884452819824,0.9789999999999998,3.036000000000001
39.06,23.08,14.33,0.053029775619506836,0.9789999999999998,3.035999999999999
39.14,23.33,14.69,0.05380821228027344,0.9789999999999995,3.036000000000001
38.78,22.19,14.46,0.052494049072265625,0.9789999999999996,3.036
39.22,23.43,14.4,0.05341172218322754,0.9789999999999999,3.035999999999999
38.8,22.6,14.27,0.05204153060913086,0.9789999999999995,3.0359999999999996
38.9,23.42,14.54,0.05314755439758301,0.9790000000000003,3.0359999999999996
39.03,25.2,14.77,0.05459284782409668,0.9790000000000005,3.0359999999999996
39.16,23.26,14.29,0.05331015586853027,0.9789999999999996,3.035999999999999
29.6,27.78,14.4,0.050852060317993164,1.2400592143834281,2.7527414373768817
29.66,27.19,14.25,0.05036425590515137,1.215094755758863,2.778709129800019
29.56,25.1,14.29,0.04835677146911621,1.2879529821506315,2.703550450987962
29.53,21.31,14.64,0.04701495170593262,1.111740943018387,2.888676061881262
